month,products,is_partial
2009-12,3009,False
2010-01,2670,False
2010-02,2547,False
2010-03,2851,False
2010-04,2565,False
2010-05,2536,False
2010-06,2656,False
2010-07,2551,False
2010-08,2636,False
2010-09,2668,False
2010-10,2785,False
2010-11,2950,False
2010-12,2722,False
2011-01,2527,False
2011-02,2346,False
2011-03,2451,False
2011-04,2410,False
2011-05,2408,False
2011-06,2578,False
2011-07,2633,False
2011-08,2552,False
2011-09,2692,False
2011-10,2798,False
2011-11,2890,False
2011-12,2433,True
